pid,main_color,style
VESFGYJDAGF4QZ3V,black,style_0
TSHFHJKR4XEERYWR,white,style_0
VESFHJHQREFDNKRQ,white,style_0
VESFGYJCZD3JUZRV,black,style_0
VESFZAM6DPFT2VHZ,white,style_0
VESFZANYWFQFYXZ2,white,style_0
TSHFGG5SHU3GER2F,white,style_0
VESFGGWEHJ5GJXMX,pink,style_0
TSHFHJKR4CAKQVC5,white,style_0
TSHFHJKRCHG8R7YS,white,style_0
VESFGJZGXKKQZGFJ,pink,style_0
VESFZAMDXEGZCGSK,white,style_0
BXRFH3SG2DGHPNT5,white,style_1
BXRFGYRYUXNNA2Z9,white,style_1
VESFHRDAQJ7PTFMM,black,style_0
VESFGYJDQHGZS3SM,white,style_0
VESFHRDBQWKBFHCZ,gray,style_0
VESFZAHF3QEQAR4E,white,style_0
VESFHJHQ2VPZV4F7,black,style_0
BXRFGYVBFFRQSY4Z,white,style_1
VESFZAKZ2ADEZEHM,white,style_0
VESFHYSWGNZWGGUK,white,style_0
VESFGYJCX9TZN6ZC,white,style_0
BXRFGYQUZH5DCABH,white,style_1
VESFGYJCADUGKVGG,brown,style_0
VESFGYJCDFVVHR4U,white,style_0
VESFZAJGQJ5JYRZY,white,style_0
VESFHJHPGC9CW6XA,white,style_0
TSHFZ5UVAKHJ5GGY,black,style_0
VESFZAZWJBRBHMAB,white,style_0
TSHFHJKRJBUK2TFG,white,style_0
SRTFHZ5V5CFUZQM5,white,style_1
TSHFGYGHHGUYRZHP,black,style_0
VESFHYSXFN3GANGR,white,style_0
BXRFGYRYGUURZGDG,white,style_1
VESFZ95QDTSNJZYG,white,style_0
VESFHJHP4AYNWSAZ,white,style_0
BXRFGYUGJCWWZ7UG,white,style_1
VESFZ95Q4FHSKHGF,white,style_0
VESFZAPZF9GYJ27Z,white,style_0
BXRFENA8YZPM8PMR,white,style_1
TSHFHJKRKB8MMAZY,white,style_0
VESFGYJDJNXBANFG,white,style_0
VESFGYJCU2PM9HXR,black,style_0
VESFHJHPBCYZGZHE,white,style_0
VESFKYJPMPAC8M9S,black,style_0
VESFHJHPCZH2ACVK,gray,style_0
BXRFHFVSCNRFFTMG,white,style_1
VESFGYJCZH7GMD4E,white,style_0
VESFGYJDWUH364V2,black,style_0
VESFKYJQBYHWE5ZA,white,style_0
DHYFHYT3QQU3UTNC,black,style_0
TSHFGYYG9YNGH7XT,black,style_0
TSHFGYGHDVUZBNZA,black,style_0
VESFHYSUYB7DBAZZ,black,style_0
VESFKYJREF5THSAN,pink,style_0
TSHFHJKSFKTFUR2B,white,style_0
VESFGGWEWQ47ZEZW,white,style_0
TSHFHJKSVR5D3HHG,white,style_0
VESFGYJDFBUZG6FQ,black,style_0
TSHFGYGHMVYZFWUG,brown,style_0
VESFGYJCGXYEZYHT,pink,style_0
TSHFHJKRVZZTKTD4,black,style_0
BXRFKYKYF3SGUMFH,white,style_1
VESFGYJCHH6UX6VF,black,style_0
TSHFZ5UVTYC3T7NB,white,style_0
TSHFGZWMYXXYWQPY,black,style_0
TSHFHJKRAVBBXFWF,white,style_0
TSHFHJKS88WDXB7Z,white,style_0
VESFHRDCY32K427Y,black,style_0
VESFZAGW4AG8WJUF,white,style_0
VESFHJHQPTY2ZC8E,white,style_0
TSHFZYYMGNZDR2ZH,white,style_0
TSHFHJKRYFDCBGJC,gray,style_0
TSHFZ5UVWY9CJ9JM,white,style_0
TSHFKYKQQ9ZQF44K,white,style_0
VESFKYJQAB5MERHY,black,style_0
VESFHYSZCX3ZMWYZ,gray,style_0
TSHFHJKR46TAQNG6,white,style_0
VESFHYSYCRHQYK9M,white,style_0
TSHFGYGH2BQGF7YV,gray,style_0
TSHFZYYHZTUA8ZQM,brown,style_0
TSHFGG5UDNX5GWSM,white,style_0
VESFHYSNVTMVDQSX,white,style_0
VESFGYJCH27GQN9Z,pink,style_0
TSHFGYYGZHJMMSJB,brown,style_0
TSHFZ8TSYS3FD6AN,black,style_0
VESFKYJQZ6SJHB35,white,style_0
TSHFZYYHYJKPFR7P,pink,style_0
TSHFGG5TSASGS3EV,black,style_0
TSHFZYYHTSTSYZNG,pink,style_0
VESFGYJCTBYDZWE2,black,style_0
TROFZQZBPSE4ZBWN,white,style_1
TROFYFX6XK4HYZFN,pink,style_1
TROFYKY4A5KGVJHB,white,style_1
TROFZQZB5YVN5GNW,white,style_1
TROFYJY6SHFAGWVU,white,style_1
TROFZQZBZAPDHHYQ,white,style_1
TROFYJQZMZZHTYHK,white,style_1
SHTFUPWKHUTVNWHY,black,style_0
TROFZQZBZTMBGX7R,white,style_1
TROFZQZBMVN6HQKX,white,style_1
TROFZQZBGD5JHDJZ,pink,style_1
TROFZQZBFQXANKSM,white,style_1
SHTFYPH5ZY8FHQN7,white,style_0
SHTFUPWH7HFGUSNR,black,style_0
SHTFUPWGWJFB7UTH,black,style_0
SHTFUPWG2RWCGYZW,black,style_0
SHTFUPWHFPCU5CPT,black,style_0
SHTFUPY8UY9SCHZ6,black,style_0
SHTFUPWK4TFY4DFZ,black,style_0
SHTFUPXYBGSNFRYZ,black,style_0
SHTFUPXYHUS4JCZJ,black,style_0
SHTFUPY87HHHG4G6,black,style_0
TROFYFX6ZF5DUKGH,white,style_1
TROFYFX6ADFBGJKQ,white,style_1
TROFYJR4GB95FYYH,white,style_1
TSHEYQ73AFZZ4QHX,gray,style_0
TSHEYRU48YEH3SDE,gray,style_0
BXRF5MQHZ4NUY2ZH,white,style_1
TSHFVJU3XHYFR2SZ,white,style_0
TSHEYQ73DFUY8QTQ,green,style_0
TKPEYQ6Y3WBFYPZR,black,style_1
BXRF3Y4GGHTRTBEK,white,style_1
BXRF5MQGGRSNSN5Q,white,style_1
TSHEYRU4KZRVEGF8,gray,style_0
BXRF5MQG9YRDM5AM,white,style_1
TSHEYRU4EAYPDYVZ,gray,style_0
BXRF3Y48FUHTEDHM,gray,style_1
BXRF5MQH76K6ZS99,white,style_1
BXRF5MQHSYQPWUYZ,white,style_1
TSHF3KH4PCPGWERR,white,style_0
BXRF5MQHZXFQXYVQ,white,style_1
TSHEYRU4TZ7ZXWHZ,gray,style_0
TKPF3FPQGCHXHGRM,gray,style_1
TKPF3FPMZ7FVMEH6,brown,style_1
TKPF3FPJNVVBKPRG,black,style_1
TKPF3FPKPQFXMWQK,purple,style_1
